what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1316778661412
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1316778661412
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1316778661412
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1316778661428
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1316778661428
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1316778661428
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1316778661444
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1316778661444
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1316778661475
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1316778661490
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1316778661522
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1316778661584
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1316778661600
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1316778661725
started,bundle,org.eclipse.sequoyah.device.backward,1.0.0.N20110110-1255,"org.eclipse.sequoyah.device.backward",1316778661725
started,bundle,org.eclipse.sequoyah.device.framework.wizard,1.0.2.N20110110-1255,"org.eclipse.sequoyah.device.framework.wizard",1316778661740
started,bundle,org.eclipse.sequoyah.localization.tools,2.0.0.N20110110-1255,"org.eclipse.sequoyah.localization.tools",1316778661740
started,bundle,org.eclipse.sequoyah.localization.android,2.0.0.N20110110-1255,"org.eclipse.sequoyah.localization.android",1316778661740
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1316778661756
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1316778661772
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1316778663912
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1316778663912
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316778666787
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1316778666787
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1316778666803
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1316778666818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778675099
error,log,,,"Unable to read C:\\Arquivos de programas\\Motorola Mobility\\MOTODEV Studio for Android 2.1\\android_sdk\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\Arquivos de programas\\Motorola Mobility\\MOTODEV Studio for Android 2.1\\android_sdk\\AndroidManifest.xml (O sistema não pode encontrar o arquivo especificado)",1316778738363
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316778738426
activated,view,biz.junginger.rss.eclipse.RssPlugin,1.5.0,"biz.junginger.newsfeed.eclipse.FeedView",1316778738426
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1316778738426
error,log,,,"Unable to read C:\\Arquivos de programas\\Motorola Mobility\\MOTODEV Studio for Android 2.1\\android_sdk\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\Arquivos de programas\\Motorola Mobility\\MOTODEV Studio for Android 2.1\\android_sdk\\AndroidManifest.xml (O sistema não pode encontrar o arquivo especificado)",1316778738473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778740816
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316778741426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778748676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778760191
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1316778760207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778771503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778772300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778776862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778790128
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778791581
started,bundle,com.motorolamobility.preflighting,0.7.1.release,"com.motorolamobility.preflighting",1316778797409
started,bundle,com.motorolamobility.preflighting.core,0.7.1.release,"com.motorolamobility.preflighting.core",1316778797409
stopped,bundle,biz.junginger.rss.eclipse.RssPlugin,1.5.0,"biz.junginger.rss.eclipse.RssPlugin",1316778798518
stopped,bundle,com.motorola.studio.android.db,2.1.0.release,"com.motorola.studio.android.db",1316778798518
stopped,bundle,com.motorola.studio.android.devices.services,2.1.0.release,"com.motorola.studio.android.devices.services",1316778798518
stopped,bundle,com.motorola.studio.android.launch,2.1.0.release,"com.motorola.studio.android.launch",1316778798518
stopped,bundle,com.motorola.studio.android.mat,2.0.0.release,"com.motorola.studio.android.mat",1316778798518
stopped,bundle,com.motorola.studio.android.emulator,2.1.0.release,"com.motorola.studio.android.emulator",1316778798753
stopped,bundle,com.motorola.studio.android.handset,2.1.0.release,"com.motorola.studio.android.handset",1316778798753
stopped,bundle,com.motorola.studio.android.ophone,2.0.0.release,"com.motorola.studio.android.ophone",1316778799112
stopped,bundle,com.motorola.studio.android.packaging.ui,2.1.0.release,"com.motorola.studio.android.packaging.ui",1316778799112
stopped,bundle,com.motorola.studio.android.packaging,2.1.0.release,"com.motorola.studio.android.packaging",1316778799112
stopped,bundle,com.motorola.studio.android.remote,2.1.0.release,"com.motorola.studio.android.remote",1316778799112
stopped,bundle,com.motorola.studio.android,2.1.1.release,"com.motorola.studio.android",1316778799784
stopped,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1316778799784
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,10.0.0.v201102162101-104271,"com.android.ide.eclipse.hierarchyviewer",1316778799784
stopped,bundle,com.android.ide.eclipse.traceview,10.0.0.v201102162101-104271,"com.android.ide.eclipse.traceview",1316778799784
stopped,bundle,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms",1316778799784
stopped,bundle,net.certiv.proguarddt,0.8.0.201006142122,"net.certiv.proguarddt",1316778799784
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1316778799784
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1316778799784
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1316778799784
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1316778799784
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1316778799784
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1316778799784
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1316778799784
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1316778799784
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1316778799784
stopped,bundle,org.eclipse.birt.chart.device.extension,2.6.1.v20100902,"org.eclipse.birt.chart.device.extension",1316778799784
stopped,bundle,org.eclipse.birt.chart.device.swt,2.6.1.v20100812,"org.eclipse.birt.chart.device.swt",1316778799784
stopped,bundle,org.eclipse.birt.chart.engine.extension,2.6.1.v20100902,"org.eclipse.birt.chart.engine.extension",1316778799784
stopped,bundle,org.eclipse.mat.chart,1.0.1.201008091353,"org.eclipse.mat.chart",1316778799784
stopped,bundle,org.eclipse.birt.chart.engine,2.6.1.v20100909,"org.eclipse.birt.chart.engine",1316778799784
stopped,bundle,org.eclipse.birt.core,2.6.1.v20100819,"org.eclipse.birt.core",1316778799799
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1316778799799
stopped,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1316778799799
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1316778799799
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1316778799799
stopped,bundle,com.motorola.studio.android.installer,2.1.1.release,"com.motorola.studio.android.installer",1316778799799
stopped,bundle,com.motorola.studio.android.product,2.1.1.release,"com.motorola.studio.android.product",1316778799799
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1316778799799
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1316778799799
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1316778799799
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1316778799799
stopped,bundle,org.eclipse.mat.jdt,1.0.1.201008091353,"org.eclipse.mat.jdt",1316778799799
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1316778803659
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1316778803659
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1316778803659
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1316778803659
stopped,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1316778803659
stopped,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1316778803659
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1316778803659
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1316778803659
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.1.v201007022358,"org.eclipse.wst.xml.xpath.ui",1316778803659
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1316778803659
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1316778803659
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1316778803659
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1316778803659
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1316778859501
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1316778859501
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1316778859517
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1316778859517
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1316778859517
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1316778859517
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1316778859532
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1316778859532
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1316778859579
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1316778859579
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1316778859610
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1316778859673
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1316778859688
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1316778859688
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1316778859907
started,bundle,org.eclipse.sequoyah.device.backward,1.0.0.N20110110-1255,"org.eclipse.sequoyah.device.backward",1316778859907
started,bundle,org.eclipse.sequoyah.device.framework.wizard,1.0.2.N20110110-1255,"org.eclipse.sequoyah.device.framework.wizard",1316778859938
started,bundle,org.eclipse.sequoyah.localization.tools,2.0.0.N20110110-1255,"org.eclipse.sequoyah.localization.tools",1316778859938
started,bundle,org.eclipse.sequoyah.localization.android,2.0.0.N20110110-1255,"org.eclipse.sequoyah.localization.android",1316778859938
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1316778859954
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1316778859954
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778888391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778892157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778897328
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316778897469
started,bundle,com.motorolamobility.preflighting,0.7.1.release,"com.motorolamobility.preflighting",1316778897766
started,bundle,com.motorolamobility.preflighting.core,0.7.1.release,"com.motorolamobility.preflighting.core",1316778897766
stopped,bundle,biz.junginger.rss.eclipse.RssPlugin,1.5.0,"biz.junginger.rss.eclipse.RssPlugin",1316778897938
stopped,bundle,com.motorola.studio.android.db,2.1.0.release,"com.motorola.studio.android.db",1316778897938
stopped,bundle,com.motorola.studio.android.devices.services,2.1.0.release,"com.motorola.studio.android.devices.services",1316778897938
stopped,bundle,com.motorola.studio.android.launch,2.1.0.release,"com.motorola.studio.android.launch",1316778897938
stopped,bundle,com.motorola.studio.android.mat,2.0.0.release,"com.motorola.studio.android.mat",1316778897938
stopped,bundle,com.motorola.studio.android.emulator,2.1.0.release,"com.motorola.studio.android.emulator",1316778897938
stopped,bundle,com.motorola.studio.android.handset,2.1.0.release,"com.motorola.studio.android.handset",1316778897938
stopped,bundle,com.motorola.studio.android.ophone,2.0.0.release,"com.motorola.studio.android.ophone",1316778897938
stopped,bundle,com.motorola.studio.android.packaging.ui,2.1.0.release,"com.motorola.studio.android.packaging.ui",1316778897938
stopped,bundle,com.motorola.studio.android.packaging,2.1.0.release,"com.motorola.studio.android.packaging",1316778897938
stopped,bundle,com.motorola.studio.android.remote,2.1.0.release,"com.motorola.studio.android.remote",1316778897938
stopped,bundle,com.motorola.studio.android,2.1.1.release,"com.motorola.studio.android",1316778897938
stopped,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1316778897938
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,10.0.0.v201102162101-104271,"com.android.ide.eclipse.hierarchyviewer",1316778897938
stopped,bundle,com.android.ide.eclipse.traceview,10.0.0.v201102162101-104271,"com.android.ide.eclipse.traceview",1316778897938
stopped,bundle,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms",1316778897938
stopped,bundle,net.certiv.proguarddt,0.8.0.201006142122,"net.certiv.proguarddt",1316778897938
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1316778897938
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1316778897938
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1316778897938
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1316778897938
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1316778897938
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1316778897938
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1316778897938
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1316778897938
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1316778897938
stopped,bundle,org.eclipse.birt.chart.device.extension,2.6.1.v20100902,"org.eclipse.birt.chart.device.extension",1316778897953
stopped,bundle,org.eclipse.birt.chart.device.swt,2.6.1.v20100812,"org.eclipse.birt.chart.device.swt",1316778897953
stopped,bundle,org.eclipse.birt.chart.engine.extension,2.6.1.v20100902,"org.eclipse.birt.chart.engine.extension",1316778897953
stopped,bundle,org.eclipse.mat.chart,1.0.1.201008091353,"org.eclipse.mat.chart",1316778897953
stopped,bundle,org.eclipse.birt.chart.engine,2.6.1.v20100909,"org.eclipse.birt.chart.engine",1316778897953
stopped,bundle,org.eclipse.birt.core,2.6.1.v20100819,"org.eclipse.birt.core",1316778897953
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1316778897953
stopped,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1316778897953
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1316778897953
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1316778897953
stopped,bundle,com.motorola.studio.android.installer,2.1.1.release,"com.motorola.studio.android.installer",1316778897953
stopped,bundle,com.motorola.studio.android.product,2.1.1.release,"com.motorola.studio.android.product",1316778897953
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1316778897953
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1316778897953
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1316778897953
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1316778897953
stopped,bundle,org.eclipse.mat.jdt,1.0.1.201008091353,"org.eclipse.mat.jdt",1316778897953
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1316778898047
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1316778898047
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1316778898047
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1316778898047
stopped,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1316778898047
